shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.500,0.958,-3.100,0.242841489373,-1118.991088867188
0.542,0.000,-3.100,0.242845410581,-1119.034790039062
0.542,0.042,-3.100,0.244354127029,-1118.898803710938
0.542,0.083,-3.100,0.245840692683,-1118.804565429688
0.542,0.125,-3.100,0.244509626150,-1118.882934570312
0.542,0.167,-3.100,0.242480551308,-1119.033081054688
0.542,0.208,-3.100,0.243244214787,-1119.050537109375
0.542,0.250,-3.100,0.244486389183,-1118.925537109375
0.542,0.292,-3.100,0.245357718834,-1118.833007812500
0.542,0.333,-3.100,0.245028344543,-1118.870117187500
0.542,0.375,-3.100,0.243681139015,-1119.009765625000
0.542,0.417,-3.100,0.243542660896,-1119.080810546875
0.542,0.458,-3.100,0.243262320321,-1119.040649414062
0.542,0.500,-3.100,0.242841489373,-1118.991088867188
0.542,0.542,-3.100,0.243419905119,-1118.987792968750
0.542,0.583,-3.100,0.243244214787,-1119.050537109375
0.542,0.625,-3.100,0.243376564250,-1119.070556640625
0.542,0.667,-3.100,0.243478760243,-1119.055908203125
0.542,0.708,-3.100,0.242445814259,-1119.066772460938
0.542,0.750,-3.100,0.242361519337,-1119.070556640625
0.542,0.792,-3.100,0.242224288673,-1119.061279296875
0.542,0.833,-3.100,0.243072258484,-1118.987792968750
0.542,0.875,-3.100,0.244486389183,-1118.925537109375
0.542,0.917,-3.100,0.243419905119,-1118.987792968750
0.542,0.958,-3.100,0.242291890858,-1119.064819335938
0.583,0.000,-3.100,0.242327987162,-1119.035400390625
0.583,0.042,-3.100,0.243891219525,-1118.937622070312
0.583,0.083,-3.100,0.244533558922,-1118.916137695312
0.583,0.125,-3.100,0.242836298334,-1119.014038085938
0.583,0.167,-3.100,0.242362727388,-1119.068725585938
0.583,0.208,-3.100,0.243419905119,-1118.987792968750
0.583,0.250,-3.100,0.245214698681,-1118.842895507812
0.583,0.292,-3.100,0.245828472522,-1118.804809570312
0.583,0.333,-3.100,0.243694401544,-1118.935302734375
0.583,0.375,-3.100,0.242576597280,-1119.060058593750
0.583,0.417,-3.100,0.243761943094,-1119.019165039062
