shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.435,0.000,-1.400,0.221066867841,-488.148071289062
0.435,0.043,-1.400,0.221056186288,-488.148376464844
0.435,0.087,-1.400,0.221486162065,-488.149047851562
0.435,0.130,-1.400,0.221398340417,-488.148559570312
0.435,0.174,-1.400,0.220924363268,-488.147155761719
0.435,0.217,-1.400,0.221039943681,-488.146911621094
0.435,0.261,-1.400,0.221040691476,-488.148223876953
0.435,0.304,-1.400,0.220937068709,-488.147460937500
0.435,0.348,-1.400,0.220749001878,-488.146606445312
0.435,0.391,-1.400,0.221141917493,-488.147155761719
0.435,0.435,-1.400,0.221204313560,-488.148620605469
0.435,0.478,-1.400,0.221280338962,-488.148193359375
0.435,0.522,-1.400,0.221019760448,-488.148254394531
0.435,0.565,-1.400,0.221204313560,-488.148620605469
0.435,0.609,-1.400,0.221509386201,-488.149078369141
0.435,0.652,-1.400,0.221287142387,-488.147674560547
0.435,0.696,-1.400,0.220898153672,-488.146911621094
0.435,0.739,-1.400,0.221064191789,-488.147521972656
0.435,0.783,-1.400,0.221022398621,-488.148254394531
0.435,0.826,-1.400,0.220786291167,-488.146697998047
0.435,0.870,-1.400,0.220796087170,-488.146636962891
0.435,0.913,-1.400,0.221217226403,-488.147949218750
0.435,0.957,-1.400,0.221398130875,-488.148590087891
0.478,0.000,-1.400,0.220785343947,-488.146575927734
0.478,0.043,-1.400,0.221207781486,-488.147216796875
0.478,0.087,-1.400,0.221303341435,-488.148864746094
0.478,0.130,-1.400,0.221227537699,-488.148376464844
0.478,0.174,-1.400,0.221029028207,-488.148406982422
0.478,0.217,-1.400,0.221196598680,-488.148620605469
0.478,0.261,-1.400,0.221409746018,-488.148956298828
0.478,0.304,-1.400,0.221257790752,-488.147430419922
0.478,0.348,-1.400,0.220838732417,-488.146789550781
0.478,0.391,-1.400,0.220972038367,-488.147491455078
0.478,0.435,-1.400,0.221019760448,-488.148254394531
0.478,0.478,-1.400,0.220831250048,-488.146728515625
0.478,0.522,-1.400,0.220831250048,-488.146820068359
0.478,0.565,-1.400,0.221280338962,-488.148101806641
0.478,0.609,-1.400,0.221434136030,-488.148712158203
0.478,0.652,-1.400,0.221041111475,-488.148284912109
0.478,0.696,-1.400,0.221038681699,-488.148345947266
0.478,0.739,-1.400,0.221460668422,-488.148925781250
0.478,0.783,-1.400,0.221343677211,-488.148406982422
0.478,0.826,-1.400,0.220875130426,-488.146942138672
0.478,0.870,-1.400,0.220924128702,-488.146789550781
0.478,0.913,-1.400,0.221023162163,-488.148345947266
0.478,0.957,-1.400,0.220928207977,-488.147460937500
0.522,0.000,-1.400,0.220785343947,-488.146575927734
0.522,0.043,-1.400,0.220928207977,-488.147460937500
0.522,0.087,-1.400,0.221023162163,-488.148254394531
0.522,0.130,-1.400,0.220924128702,-488.146789550781
0.522,0.174,-1.400,0.220875130426,-488.147003173828
0.522,0.217,-1.400,0.221343677211,-488.148376464844
0.522,0.261,-1.400,0.221460668422,-488.148895263672
0.522,0.304,-1.400,0.221038681699,-488.148376464844
0.522,0.348,-1.400,0.221041111475,-488.148254394531
0.522,0.391,-1.400,0.221434136030,-488.148712158203
0.522,0.435,-1.400,0.221280338962,-488.148193359375
0.522,0.478,-1.400,0.220831250048,-488.146728515625
0.522,0.522,-1.400,0.220831250048,-488.146789550781
0.522,0.565,-1.400,0.221019760448,-488.148254394531
0.522,0.609,-1.400,0.220972038367,-488.147460937500
0.522,0.652,-1.400,0.220838732417,-488.146697998047
0.522,0.696,-1.400,0.221257790752,-488.147399902344
0.522,0.739,-1.400,0.221409746018,-488.149291992188
0.522,0.783,-1.400,0.221196598680,-488.148559570312
0.522,0.826,-1.400,0.221029028207,-488.148406982422
0.522,0.870,-1.400,0.221227537699,-488.148376464844
0.522,0.913,-1.400,0.221303341435,-488.148773193359
0.522,0.957,-1.400,0.221207781486,-488.147216796875
0.565,0.000,-1.400,0.221066867841,-488.148071289062
0.565,0.043,-1.400,0.221398130875,-488.148620605469
0.565,0.087,-1.400,0.221217226403,-488.147949218750
0.565,0.130,-1.400,0.220796087170,-488.146636962891
0.565,0.174,-1.400,0.220786291167,-488.146697998047
0.565,0.217,-1.400,0.221022398621,-488.148345947266
0.565,0.261,-1.400,0.221064191789,-488.147583007812
0.565,0.304,-1.400,0.220898153672,-488.146911621094
0.565,0.348,-1.400,0.221287142387,-488.147674560547
0.565,0.391,-1.400,0.221509386201,-488.149169921875
0.565,0.435,-1.400,0.221204313560,-488.148620605469
0.565,0.478,-1.400,0.221019760448,-488.148193359375
0.565,0.522,-1.400,0.221280338962,-488.148101806641
0.565,0.565,-1.400,0.221204313560,-488.148620605469
0.565,0.609,-1.400,0.221141917493,-488.147033691406
0.565,0.652,-1.400,0.220749001878,-488.146484375000
0.565,0.696,-1.400,0.220937068709,-488.147521972656
0.565,0.739,-1.400,0.221040691476,-488.148315429688
0.565,0.783,-1.400,0.221039943681,-488.147003173828
0.565,0.826,-1.400,0.220924363268,-488.147186279297
0.565,0.870,-1.400,0.221398340417,-488.148559570312
0.565,0.913,-1.400,0.221486162065,-488.149047851562
0.565,0.957,-1.400,0.221056186288,-488.148315429688
0.609,0.000,-1.400,0.221290446497,-488.147979736328
0.609,0.043,-1.400,0.221586818684,-488.149230957031
0.609,0.087,-1.400,0.221245270013,-488.148681640625
0.609,0.130,-1.400,0.221001516859,-488.148132324219
0.609,0.174,-1.400,0.221321948965,-488.147857666016
