shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn,fgw_distance_cgnf,fgw_distance_magp,mace_single_point_energy,mace_relaxed_energy
0.5,0.605,-2.7,-2.4,0.184214705181 ,0.276601688449 ,0.304701075450 ,-967.102355957031 ,-977.938720703125 
0.5,0.658,-2.7,-2.4,0.182442707993 ,0.274857246611 ,0.301280730312 ,-967.137451171875 ,-978.045715332031 
0.5,0.711,-2.7,-2.4,0.184412374846 ,0.276804210897 ,0.305040695234 ,-967.102600097656 ,-977.986938476562 
0.5,0.763,-2.7,-2.4,0.181200484166 ,0.273468383012 ,0.299033049950 ,-967.147399902344 ,-978.535034179688 
0.5,0.816,-2.7,-2.4,0.181886051754 ,0.274302593392 ,0.300476887872 ,-967.130371093750 ,-978.147399902344 
0.5,0.868,-2.7,-2.4,0.180983589882 ,0.273275399222 ,0.298694314555 ,-967.148864746094 ,-978.572692871094 
0.5,0.921,-2.7,-2.4,0.182622952571 ,0.274937054628 ,0.301730405089 ,-967.122131347656 ,-978.573242187500 
0.5,0.974,-2.7,-2.4,0.183293458872 ,0.275667726564 ,0.302917544987 ,-967.120056152344 ,-978.181091308594 
0.553,0.026,-2.7,-2.4,0.182343689268 ,0.274764211342 ,0.301336584233 ,-967.122436523438 ,-978.161376953125 
0.553,0.079,-2.7,-2.4,0.181510941083 ,0.273821826314 ,0.299626461509 ,-967.144836425781 ,-978.167053222656 
0.553,0.132,-2.7,-2.4,0.184331834953 ,0.276699831423 ,0.304843751178 ,-967.104797363281 ,-978.360107421875 
0.553,0.184,-2.7,-2.4,0.182884112416 ,0.275262815702 ,0.302125259670 ,-967.126953125000 ,-978.185852050781 
0.553,0.237,-2.7,-2.4,0.182636324803 ,0.274999221521 ,0.301793429432 ,-967.123535156250 ,-977.978149414062 
0.553,0.289,-2.7,-2.4,0.181271978147 ,0.273558052937 ,0.299239157434 ,-967.141357421875 ,-978.627990722656 
0.553,0.342,-2.7,-2.4,0.181141298862 ,0.273437175954 ,0.299004974312 ,-967.143371582031 ,-978.631286621094 
0.553,0.395,-2.7,-2.4,0.182243292530 ,0.274610730534 ,0.301085503125 ,-967.127990722656 ,-978.189331054688 
0.553,0.447,-2.7,-2.4,0.182596954223 ,0.274950733840 ,0.301602730360 ,-967.129516601562 ,-978.547485351562 
0.553,0.5,-2.7,-2.4,0.184527209596 ,0.276906254789 ,0.305196966580 ,-967.103637695312 ,-978.328552246094 
0.553,0.553,-2.7,-2.4,0.181873532096 ,0.274209674541 ,0.300283988132 ,-967.140625000000 ,-978.152221679688 
0.553,0.605,-2.7,-2.4,0.182609595829 ,0.275008832237 ,0.301810425058 ,-967.118835449219 ,-978.112304687500 
0.553,0.658,-2.7,-2.4,0.180482132606 ,0.272720404706 ,0.297712501193 ,-967.159729003906 ,-978.417541503906 
0.553,0.711,-2.7,-2.4,0.182879767610 ,0.275342773991 ,0.302344393043 ,-967.115783691406 ,-978.200500488281 
0.553,0.763,-2.7,-2.4,0.181576271268 ,0.273912960631 ,0.299691796393 ,-967.147399902344 ,-978.569213867188 
0.553,0.816,-2.7,-2.4,0.185440189764 ,0.277844633796 ,0.306887317263 ,-967.094055175781 ,-978.101257324219 
0.553,0.868,-2.7,-2.4,0.181914611879 ,0.274288702241 ,0.300307408439 ,-967.143920898438 ,-978.357482910156 
0.553,0.921,-2.7,-2.4,0.183258697648 ,0.275700056388 ,0.303019169196 ,-967.111633300781 ,-978.192810058594 
0.553,0.974,-2.7,-2.4,0.180509593271 ,0.272745145711 ,0.297759301318 ,-967.159423828125 ,-978.593017578125 
0.605,0.026,-2.7,-2.4,0.184708492705 ,0.277095316872 ,0.305577492857 ,-967.098999023438 ,-977.951721191406 
0.605,0.079,-2.7,-2.4,0.180913490443 ,0.273186538755 ,0.298490543956 ,-967.154846191406 ,-978.353881835938 
