shift_a,shift_b,shift_c,fgw_distance,relaxed_energy
0.565,0.913,-1.300,0.221486162065,-489.052246093750
0.565,0.957,-1.300,0.221056186288,-489.070709228516
0.609,0.000,-1.300,0.221290446497,-489.067993164062
0.609,0.043,-1.300,0.221586818684,-489.049194335938
0.609,0.087,-1.300,0.221245270013,-489.055480957031
0.609,0.130,-1.300,0.221001516859,-489.074890136719
0.609,0.174,-1.300,0.221321948965,-489.059570312500
0.609,0.217,-1.300,0.221123836733,-489.064758300781
0.609,0.261,-1.300,0.221063816537,-489.075286865234
0.609,0.304,-1.300,0.220731947559,-489.085723876953
0.609,0.348,-1.300,0.220985952877,-489.074401855469
0.609,0.391,-1.300,0.221079659075,-489.071228027344
0.609,0.435,-1.300,0.221141917493,-489.074005126953
0.609,0.478,-1.300,0.220972038367,-489.074279785156
0.609,0.522,-1.300,0.221434136030,-489.054382324219
0.609,0.565,-1.300,0.221509386201,-489.052185058594
0.609,0.609,-1.300,0.221079659075,-489.070922851562
0.609,0.652,-1.300,0.221104011217,-489.072021484375
0.609,0.696,-1.300,0.221342595568,-489.056671142578
0.609,0.739,-1.300,0.221158524522,-489.070373535156
0.609,0.783,-1.300,0.220769306820,-489.081787109375
0.609,0.826,-1.300,0.220793257785,-489.080902099609
0.609,0.870,-1.300,0.221028128967,-489.073547363281
0.609,0.913,-1.300,0.221180815754,-489.070953369141
0.609,0.957,-1.300,0.220950075780,-489.075683593750
0.652,0.000,-1.300,0.221055285357,-489.073364257812
0.652,0.043,-1.300,0.221140930177,-489.068054199219
0.652,0.087,-1.300,0.221198800672,-489.072296142578
0.652,0.130,-1.300,0.221010408317,-489.073333740234
0.652,0.174,-1.300,0.221444665119,-489.053833007812
0.652,0.217,-1.300,0.221519764425,-489.051910400391
0.652,0.261,-1.300,0.221093739286,-489.071624755859
0.652,0.304,-1.300,0.221129214358,-489.072875976562
0.652,0.348,-1.300,0.221265477844,-489.066711425781
0.652,0.391,-1.300,0.221104011217,-489.072052001953
0.652,0.435,-1.300,0.220749001878,-489.082550048828
0.652,0.478,-1.300,0.220838732417,-489.080444335938
0.652,0.522,-1.300,0.221041111475,-489.071929931641
0.652,0.565,-1.300,0.221287142387,-489.061340332031
0.652,0.609,-1.300,0.220985952877,-489.074401855469
0.652,0.652,-1.300,0.221265477844,-489.066741943359
0.652,0.696,-1.300,0.221628862248,-489.047698974609
0.652,0.739,-1.300,0.221298878772,-489.055877685547
0.652,0.783,-1.300,0.220974150346,-489.074829101562
0.652,0.826,-1.300,0.221319464799,-489.060974121094
0.652,0.870,-1.300,0.221068459417,-489.068664550781
0.652,0.913,-1.300,0.220978856852,-489.076477050781
0.652,0.957,-1.300,0.220728552620,-489.085693359375
0.696,0.000,-1.300,0.221176577867,-489.068725585938
0.696,0.043,-1.300,0.221052349992,-489.073883056641
0.696,0.087,-1.300,0.220736710478,-489.082366943359
0.696,0.130,-1.300,0.220903750676,-489.080108642578
0.696,0.174,-1.300,0.221069676079,-489.069091796875
0.696,0.217,-1.300,0.221353171627,-489.059265136719
0.696,0.261,-1.300,0.221005855802,-489.074401855469
0.696,0.304,-1.300,0.221217628209,-489.065032958984
0.696,0.348,-1.300,0.221628862248,-489.047363281250
0.696,0.391,-1.300,0.221342595568,-489.056671142578
0.696,0.435,-1.300,0.220937068709,-489.074890136719
0.696,0.478,-1.300,0.221257790752,-489.062835693359
0.696,0.522,-1.300,0.221038681699,-489.071777343750
0.696,0.565,-1.300,0.220898153672,-489.076995849609
0.696,0.609,-1.300,0.220731947559,-489.085723876953
0.696,0.652,-1.300,0.221129214358,-489.072875976562
0.696,0.696,-1.300,0.221217628209,-489.065063476562
0.696,0.739,-1.300,0.221199784487,-489.070983886719
0.696,0.783,-1.300,0.221033761961,-489.073028564453
0.696,0.826,-1.300,0.221432408026,-489.053100585938
0.696,0.870,-1.300,0.221505207392,-489.052246093750
0.696,0.913,-1.300,0.221089022649,-489.071411132812
0.696,0.957,-1.300,0.221119126742,-489.074188232422
0.739,0.000,-1.300,0.221589264666,-489.049560546875
0.739,0.043,-1.300,0.221361980613,-489.057800292969
0.739,0.087,-1.300,0.220891165706,-489.076324462891
0.739,0.130,-1.300,0.221148144329,-489.072967529297
0.739,0.174,-1.300,0.221028394102,-489.073364257812
0.739,0.217,-1.300,0.220840611858,-489.076812744141
