shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn,fgw_distance_cgnf,fgw_distance_magp,mace_single_point_energy,mace_relaxed_energy
0.395,0.868,-1.4,-1.3,0.220903877067 ,0.222334228389 ,0.168085280513 ,-488.147949218750 ,-489.075164794922 
0.395,0.921,-1.4,-1.3,0.221282133444 ,0.223195424096 ,0.168496263541 ,-488.148925781250 ,-489.054443359375 
0.395,0.974,-1.4,-1.3,0.221384293644 ,0.223409570338 ,0.168593090846 ,-488.148986816406 ,-489.053131103516 
0.447,0.026,-1.4,-1.3,0.220908560340 ,0.222364755205 ,0.168087285018 ,-488.147949218750 ,-489.074401855469 
0.447,0.079,-1.4,-1.3,0.221391767488 ,0.223445110399 ,0.168623048545 ,-488.149169921875 ,-489.052520751953 
0.447,0.132,-1.4,-1.3,0.221317136933 ,0.223218255703 ,0.168494088313 ,-488.148803710938 ,-489.055053710938 
0.447,0.184,-1.4,-1.3,0.220863693619 ,0.222491120299 ,0.168141916245 ,-488.147613525391 ,-489.074890136719 
0.447,0.237,-1.4,-1.3,0.221191532453 ,0.222986690162 ,0.168299348591 ,-488.147857666016 ,-489.069335937500 
0.447,0.289,-1.4,-1.3,0.220977920753 ,0.222489689625 ,0.168135342428 ,-488.147979736328 ,-489.072753906250 
0.447,0.342,-1.4,-1.3,0.220647757763 ,0.223619854459 ,0.168563725974 ,-488.146606445312 ,-489.085632324219 
0.447,0.395,-1.4,-1.3,0.220987235117 ,0.222876350772 ,0.168281974183 ,-488.147277832031 ,-489.074584960938 
0.447,0.447,-1.4,-1.3,0.221136682453 ,0.222757449160 ,0.168270501575 ,-488.148406982422 ,-489.065795898438 
0.447,0.5,-1.4,-1.3,0.221001139873 ,0.222673034864 ,0.168205464243 ,-488.147644042969 ,-489.072845458984 
0.447,0.553,-1.4,-1.3,0.221136682453 ,0.222757449160 ,0.168270501575 ,-488.148406982422 ,-489.065795898438 
0.447,0.605,-1.4,-1.3,0.221539632344 ,0.223749827726 ,0.168785535509 ,-488.149414062500 ,-489.048217773438 
0.447,0.658,-1.4,-1.3,0.221066905396 ,0.222663039665 ,0.168195654047 ,-488.148010253906 ,-489.070098876953 
0.447,0.711,-1.4,-1.3,0.221088030768 ,0.222988744773 ,0.168301767066 ,-488.147399902344 ,-489.072875976562 
0.447,0.763,-1.4,-1.3,0.220998792333 ,0.222455670700 ,0.168144143696 ,-488.148437500000 ,-489.068786621094 
0.447,0.816,-1.4,-1.3,0.220821253665 ,0.223009230734 ,0.168337514726 ,-488.147003173828 ,-489.076721191406 
0.447,0.868,-1.4,-1.3,0.220685081013 ,0.223434236497 ,0.168488970087 ,-488.146697998047 ,-489.081970214844 
0.447,0.921,-1.4,-1.3,0.220979505255 ,0.222501584276 ,0.168136485261 ,-488.148284912109 ,-489.070373535156 
0.447,0.974,-1.4,-1.3,0.221238849307 ,0.223123141514 ,0.168338420600 ,-488.147796630859 ,-489.060852050781 
0.5,0.026,-1.4,-1.3,0.220746048366 ,0.223238925109 ,0.168417899792 ,-488.146759033203 ,-489.080871582031 
0.5,0.079,-1.4,-1.3,0.220968723577 ,0.222437566504 ,0.168127723686 ,-488.148437500000 ,-489.069946289062 
0.5,0.132,-1.4,-1.3,0.221173848353 ,0.223077645486 ,0.168317986602 ,-488.147521972656 ,-489.070617675781 
